// All values are from https://www.avoindata.fi/data/fi/dataset/none "Sukunimitilasto 2018-03-05"
Pietikäinen, 1_914
Nygård, 1_908
Piiroinen, 1_904
Björklund, 1_895
Sinisalo, 1_895
Rajamäki, 1_893
Tenhunen, 1_886
Pikkarainen, 1_885
Ukkonen, 1_881
Antila, 1_876
Nyström, 1_870
Lämsä, 1_865
Forsström, 1_857
Siitonen, 1_857
Suomela, 1_856
Vuorio, 1_851
Kuokkanen, 1_848
Paajanen, 1_848
Suomi, 1_848
Ekman, 1_843
Neuvonen, 1_839
Laitila, 1_836
Leppälä, 1_829
Huusko, 1_828
Pöyhönen, 1_825
Kekkonen, 1_824
Junttila, 1_821
Lind, 1_821
Vainionpää, 1_814
Bergman, 1_813
Saarelainen, 1_813
Lyytikäinen, 1_809
Alho, 1_807
Hyytiäinen, 1_807
Tahvanainen, 1_802
Jantunen, 1_801
Vepsäläinen, 1_799
Vanhanen, 1_797
Jylhä, 1_794
Kujanpää, 1_794
Arola, 1_788
Mäkitalo, 1_786
Sandberg, 1_785
Wikström, 1_782
Lempinen, 1_779
Suutari, 1_777
Hynninen, 1_771
Kontio, 1_769
Tapio, 1_765
Nyholm, 1_762
Helander, 1_760
Hakanen, 1_759
Närhi, 1_758
Honkala, 1_755
Tuomainen, 1_755
Kosunen, 1_754
Pakkanen, 1_749
Inkinen, 1_747
Hurme, 1_743
Kääriäinen, 1_742
Ekholm, 1_739
Saukkonen, 1_734
Minkkinen, 1_732
Kaartinen, 1_726
Palonen, 1_725
Pirhonen, 1_722
Pyykkö, 1_705
Tauriainen, 1_703
Piironen, 1_699
Rintamäki, 1_696
Lukkarinen, 1_695
Söderlund, 1_685
Nummela, 1_681
Nurmela, 1_677
Tukiainen, 1_674
Puttonen, 1_672
Itkonen, 1_671
Määttänen, 1_669
Remes, 1_667
Kautto, 1_665
Romppanen, 1_661
Selin, 1_658
Tiilikainen, 1_652
Halttunen, 1_651
Grönlund, 1_648
Harjula, 1_646
Nikkanen, 1_645
Kananen, 1_641
Välimaa, 1_633
Vanhala, 1_628
Pekkanen, 1_625
Tossavainen, 1_625
Mäkilä, 1_624
Tammi, 1_622
Ryhänen, 1_621
Koivu, 1_620
Santala, 1_620
Kalliomäki, 1_614
Myllylä, 1_610
Pyykkönen, 1_605
Setälä, 1_594
Saukko, 1_593
Piispanen, 1_588
Kuitunen, 1_587
Koivumäki, 1_586
Tuomaala, 1_586
Ahtiainen, 1_580
Lindeman, 1_580
Lintunen, 1_579
Happonen, 1_564
Ketonen, 1_560
Tuomela, 1_558
Kivioja, 1_554
Sundqvist, 1_548
Valtanen, 1_546
Tyni, 1_541
Hovi, 1_540
Nyyssönen, 1_538
Kataja, 1_537
Hellsten, 1_535
Pietiläinen, 1_535
Siekkinen, 1_532
Siltanen, 1_531
Tuhkanen, 1_529
Vesala, 1_524
Poutanen, 1_517
Kuusinen, 1_509
Haapalainen, 1_504
Hakulinen, 1_504
Mäntynen, 1_504
Hakola, 1_503
Rämö, 1_503
Sivula, 1_496
Toikka, 1_494
Päivärinta, 1_488
Turtiainen, 1_487
Hellman, 1_484
Piipponen, 1_484
Kangasniemi, 1_482
Pellinen, 1_481
Montonen, 1_479
Vänskä, 1_478
Peltomäki, 1_475
Syrjänen, 1_475
Mykkänen, 1_474
Kuivalainen, 1_472
Vaittinen, 1_472
Stenberg, 1_471
Honkonen, 1_468
Kuittinen, 1_465
Wallenius, 1_464
Torvinen, 1_463
Pettersson, 1_460
Parkkonen, 1_457
Piippo, 1_456
Valli, 1_452
Salin, 1_451
Jalkanen, 1_450
Jäppinen, 1_449
Kuikka, 1_445
Kärnä, 1_441
Sandström, 1_435
Utriainen, 1_433
Lindén, 1_430
Talvitie, 1_429
Räihä, 1_426
Sjöberg, 1_426
Hallikainen, 1_425
Nikkilä, 1_424
Grönholm, 1_423
Hynynen, 1_421
Sippola, 1_420
Soikkeli, 1_420
Herranen, 1_412
Jaakola, 1_412
Kuparinen, 1_411
Mähönen, 1_410
Pursiainen, 1_404
Iivonen, 1_403
Pulli, 1_399
Lönnqvist, 1_398
Orava, 1_398
Sairanen, 1_397
Männikkö, 1_396
Nikkinen, 1_396
Raunio, 1_390
Palosaari, 1_388
Kekäläinen, 1_382
Puumalainen, 1_382
Ojanperä, 1_378
Lamberg, 1_377
Pellikka, 1_377
Suni, 1_375
Rahkonen, 1_373
Kakko, 1_372
Nordlund, 1_370
Reijonen, 1_370
Vatanen, 1_369
Kankkunen, 1_368
Annala, 1_367
Tuomola, 1_367
Kervinen, 1_365
Putkonen, 1_365
Vuorenmaa, 1_364
Tynkkynen, 1_363
Olkkonen, 1_360
Lappi, 1_359
Savela, 1_357
Juutilainen, 1_356
Kaukonen, 1_356
Pynnönen, 1_356
Hukkanen, 1_355
Katajamäki, 1_354
Numminen, 1_354
Öhman, 1_353
Peltomaa, 1_349
Saikkonen, 1_349
Vehviläinen, 1_349
Niskala, 1_346
Isotalo, 1_345
Kaunisto, 1_345
Salovaara, 1_344
Naukkarinen, 1_343
Kukkola, 1_342
Sundberg, 1_340
Vauhkonen, 1_339
Leivo, 1_338
Viljakainen, 1_338
Nordman, 1_336
Pohjonen, 1_336
Sipola, 1_330
Suokas, 1_328
Heimonen, 1_324
Jämsä, 1_320
Väätäinen, 1_319
Pihlajamäki, 1_316
Haikonen, 1_311
Manner, 1_311
Mohamed, 1_310
Virkkunen, 1_310
Huhta, 1_308
Ervasti, 1_305
Nissilä, 1_305
Kohonen, 1_304
Mutanen, 1_304
Palmu, 1_301
Siltala, 1_301
Malmberg, 1_298
Kurvinen, 1_296
Kaipainen, 1_295
Vainikka, 1_294
Pylkkänen, 1_293
Reponen, 1_293
Oja, 1_292
Päivinen, 1_289
Haanpää, 1_285
Mäkeläinen, 1_285
Poutiainen, 1_285
Roos, 1_285
Elomaa, 1_282
Lähde, 1_281
Wallin, 1_281
Mannila, 1_279
Pihlaja, 1_278
Huhtanen, 1_277
Vanhatalo, 1_276
Holma, 1_275
Ovaskainen, 1_273
Kilpinen, 1_272
Vikman, 1_268
Lintula, 1_266
Nguyen, 1_266
Hurskainen, 1_265
Säkkinen, 1_263
Mielonen, 1_262
Kupiainen, 1_258
Söderholm, 1_257
Ovaska, 1_256
Kovalainen, 1_255
Rouhiainen, 1_254
Suuronen, 1_253
Lindell, 1_251
Kuoppala, 1_247
Blom, 1_245
Murto, 1_241
Perttula, 1_239
Viinikainen, 1_239
Kumpula, 1_237
Janhunen, 1_231
Jokelainen, 1_231
Klemetti, 1_230
Vainikainen, 1_229
Himanen, 1_226
Raitanen, 1_226
Haapakoski, 1_225
Kiviranta, 1_225
Pietarinen, 1_223
Rekola, 1_222
Tarkiainen, 1_222
Kivi, 1_221
Saarenpää, 1_221
Fagerström, 1_217
Tuononen, 1_217
Ek, 1_214
Hintikka, 1_212
Haapamäki, 1_207
Lundberg, 1_202
Liikanen, 1_201
Siivonen, 1_201
Ruokonen, 1_200
Rantamäki, 1_199
Veijalainen, 1_198
Bergström, 1_195
Julkunen, 1_195
Leskelä, 1_192
Marjamäki, 1_188
Ripatti, 1_188
Kirjavainen, 1_185
Sundell, 1_185
Parikka, 1_184
Nikander, 1_181
Sarkkinen, 1_181
Laatikainen, 1_180
Jalava, 1_177
Gröhn, 1_173
Ratilainen, 1_171
Saario, 1_170
Kemppi, 1_168
Ström, 1_166
Kekki, 1_165
Saarikoski, 1_165
Tanninen, 1_165
Ali, 1_162
Palo, 1_160
Rahikainen, 1_158
Varjonen, 1_158
Vesa, 1_155
Raappana, 1_153
Granlund, 1_152
Junnila, 1_152
Kannisto, 1_152
Kesti, 1_152
Reunanen, 1_152
Vänttinen, 1_152
Westerholm, 1_151
Paasonen, 1_150
Hulkkonen, 1_146
Peura, 1_146
Hongisto, 1_144
Kauranen, 1_142
Rautanen, 1_139
Nisula, 1_138
Äijälä, 1_136
Blomberg, 1_135
Pentikäinen, 1_135
Loikkanen, 1_132
Granholm, 1_131
Maijala, 1_131
Juhola, 1_129
Vaara, 1_125
Lyytinen, 1_122
Kunnari, 1_118
Heinänen, 1_117
Myllynen, 1_117
Lampela, 1_115
Martin, 1_115
Okkonen, 1_113
Oksa, 1_112
Sarajärvi, 1_112
Häggblom, 1_111
Ilomäki, 1_109
Ahlgren, 1_108
Niinimäki, 1_104
Takkinen, 1_100
Lukkari, 1_098
Roininen, 1_097
Åberg, 1_096
Jutila, 1_094
Tuppurainen, 1_091
Lamminen, 1_089
Sjöholm, 1_089
Ristimäki, 1_088
Kolari, 1_087
Ropponen, 1_086
Östman, 1_086
Kytölä, 1_085
Kontkanen, 1_084
Majuri, 1_083
