// All values are from https://www.avoindata.fi/data/fi/dataset/none "Etunimitilasto 2018-03-05"
Aleksei, 253
Karl-Erik, 250
Jetro, 249
Dimitri, 247
Dick, 247
Immo, 247
Oleg, 245
Ted, 245
Julian, 243
Eeti, 240
Ivar, 239
Knut, 239
Peik, 236
Anselmi, 236
Carl-Johan, 235
Lars-Erik, 235
Pessi, 233
Charles, 232
Jone, 232
Mustafa, 231
Konstantin, 230
Bertel, 230
Samir, 229
Jasse, 228
Alvari, 228
Manne, 228
Ian, 226
Olli-Matti, 225
Mårten, 225
Ingmar, 224
Sergey, 223
Maksim, 223
Kare, 222
Manuel, 222
Wiljami, 218
Renne, 218
Yngve, 218
Ronnie, 218
Ola, 217
Anthony, 214
Simeon, 213
Raul, 213
Hassan, 213
Casimir, 213
Staffan, 212
Eddie, 212
Dmitri, 212
Conny, 212
Miio, 210
Iisak, 210
Dominic, 210
Ville-Valtteri, 209
Rauni, 209
Melvin, 208
Mikhail, 208
Alexandre, 208
Tore, 207
Matthew, 206
Alec, 206
Veini, 206
Wilmer, 206
Kennet, 206
Milton, 204
Jali, 204
Ahmad, 204
Sture, 201
Antonio, 201
Mike, 201
Joe, 200
Aarto, 200
Caj, 200
Holger, 200
Aappo, 200
Jani-Petteri, 199
Olle, 198
Jaska, 198
Jermu, 198
Kerkko, 197
Edwin, 197
Frej, 195
Rico, 193
Glenn, 193
Kirill, 192
Sixten, 191
Simo-Pekka, 190
Wäinö, 190
Benjam, 189
Yusuf, 188
Leonard, 186
Nemo, 186
Ami, 186
Andrey, 185
Helmer, 185
Huugo, 184
Jarko, 184
Jeremia, 184
Kristo, 183
Carlos, 183
Kuutti, 183
René, 182
Jesperi, 182
Isac, 182
Hussein, 182
Jusa, 181
Mihail, 181
Terno, 181
Sören, 181
Folke, 180
Sami-Pekka, 178
Ron, 178
Miiko, 178
Karl-Johan, 176
Hamza, 175
Fred, 175
Atro, 174
Kari-Matti, 174
Micke, 173
Sami-Petteri, 172
Marc, 172
Gustaf, 171
Hemmi, 171
Mehmet, 171
Harald, 170
Andrew, 170
Valentin, 170
Rudolf, 170
Remu, 168
Viggo, 167
Levi, 166
Aate, 166
Saska, 166
Elja, 165
Leonardo, 165
Alexey, 164
Vilhelm, 164
Ken, 164
Tristan, 163
Abdi, 161
Said, 161
Benjami, 160
Ossian, 160
Zacharias, 158
Jan-Peter, 158
Rickard, 157
Ismail, 157
Jan-Mikael, 157
Kauri, 157
Torbjörn, 156
Cristian, 155
Uolevi, 154
Henrikki, 154
Jani-Pekka, 154
Kaspian, 154
Juho-Matti, 152
Dmitry, 152
Esa-Matti, 151
Thor, 150
Josef, 150
Alfons, 149
Valeri, 149
Artem, 148
Alexi, 148
Uula, 148
Sakke, 148
Kullervo, 148
Kusti, 147
Risto-Matti, 147
Miiro, 146
Joseph, 145
Saul, 145
Bertil, 145
Niko-Petteri, 144
Per-Olof, 144
Aati, 143
Ragnar, 143
Matteus, 143
Sulevi, 143
Anas, 143
Elo, 142
Amin, 142
Hiski, 141
Werner, 141
Kaj-Erik, 141
Miklas, 141
Daniil, 140
Khalid, 140
Alvi, 140
Jero, 139
Akusti, 139
Clas, 138
Titus, 138
Lenny, 138
Mahamed, 137
Kustaa, 137
Eikka, 137
Mitro, 137
Janne-Pekka, 136
Niilas, 136
Torolf, 135
Ryan, 134
Hasan, 134
Sven-Erik, 134
Alexei, 133
Misa, 133
Jirka, 133
Juan, 132
Luke, 131
Greger, 131
Colin, 131
Matti-Pekka, 131
Anttu, 130
Liinus, 130
Juha-Petri, 130
Jaajo, 128
Vikke, 128
Curt, 127
Jyry, 126
Abdul, 126
Verne, 126
Jeremy, 126
Eeka, 126
Milan, 126
Jiro, 125
Vinski, 125
Juhamatti, 125
Morris, 125
Riku-Pekka, 124
Rabbe, 124
Sammy, 124
Nathan, 124
Claes, 124
Ville-Markus, 124
Vadim, 123
Eevertti, 123
Roberto, 123
Juha-Petteri, 123
Miku, 122
Mikko-Pekka, 122
Edgar, 122
George, 122
Alexis, 121
Werneri, 121
Micael, 120
Alpi, 120
Abdullah, 120
Myrsky, 119
Pär, 119
Fabian, 118
Minh, 118
Valdemar, 118
Leino, 118
Ahto, 118
Alan, 118
Valle, 118
Valtti, 117
Jaan, 117
Charlie, 117
Nils-Erik, 117
Theodor, 117
Eduard, 117
Muhammed, 116
Tami, 115
Asla, 115
Roi, 115
Tyko, 115
Juska, 115
Ludvig, 114
Auno, 114
Hampus, 113
Rufus, 113
Uljas, 113
Harto, 113
Md., 112
Silvo, 112
Jeri, 112
Ture, 112
Vladislav, 112
Sean, 112
Vidar, 112
Raoul, 112
Thanh, 112
Anatoli, 112
Wiljam, 112
Jussi-Petteri, 111
Patric, 111
Eerikki, 111
Bo-Erik, 110
Aksu, 109
Andre, 109
Taavetti, 109
Måns, 109
Luis, 109
Karlo, 109
Otava, 108
Timothy, 108
Weeti, 108
Elvis, 108
Runar, 108
Mauritz, 108
Osman, 107
Elian, 107
Milko, 106
Zakaria, 106
Arimo, 106
Evgeny, 104
Jakke, 103
Kalle-Pekka, 103
Riki, 102
Jasperi, 102
Rolle, 102
