// All values are from https://www.avoindata.fi/data/fi/dataset/none "Etunimitilasto 2018-03-05"
Maaret, 763
Mirella, 761
Gunvor, 758
Vivian, 756
Jatta, 753
Suoma, 748
Jasmine, 745
Ingrid, 745
Adele, 743
Nita, 736
Lyydia, 735
Pipsa, 735
Rebekka, 730
Ebba, 727
Nelly, 724
Aida, 723
Ruut, 722
Aleksandra, 722
Onerva, 716
Ruth, 716
Benita, 715
Sohvi, 715
Annamari, 707
Mimmi, 706
Piritta, 696
Minka, 695
Alva, 693
Verna, 693
Rea, 686
Mailis, 684
Pirita, 681
Doris, 680
Isa, 676
Ann-Mari, 674
Orvokki, 669
Iita, 654
Fiona, 648
Lila, 641
Ekaterina, 639
Mirkka, 639
Alice, 633
Britta, 631
Iines, 629
Ilmi, 629
Annette, 624
Meea, 623
Isabel, 620
Unna, 620
Aamu, 619
Elna, 616
Malla, 615
Anastasia, 614
Sofie, 612
Matleena, 611
Yvonne, 609
Ann, 605
Luna, 604
Sarita, 604
Ava, 602
Selina, 602
Tove, 600
Ina, 598
Minni, 597
Kaino, 596
Lilia, 596
Jennifer, 594
Maj-Lis, 589
Pirjo-Riitta, 588
Inari, 585
Impi, 584
Regina, 584
Saini, 583
Sylvia, 583
Raakel, 578
Ilse, 576
Amalia, 571
Sabina, 570
Hanna-Maria, 567
Marju, 563
Martina, 563
Elviira, 553
Siri, 541
Amelia, 540
Jasmiina, 538
Patricia, 535
Christa, 534
Elisabeth, 532
Christel, 531
Viena, 530
Hellevi, 530
Ritva-Liisa, 529
Henna-Riikka, 529
Ines, 528
Ulrika, 526
Carolina, 525
Maya, 524
Tara, 522
Milena, 519
Signe, 516
Anne-Maarit, 514
Eivor, 513
Ida-Maria, 511
Galina, 509
Pirjo-Liisa, 507
Kielo, 506
Helen, 504
Valentina, 504
Lisbeth, 502
Ria, 501
Tatjana, 501
Hillevi, 500
Sinna, 495
Jessika, 488
Emily, 486
Natalie, 486
Elisabet, 485
Veronica, 484
Selja, 482
Eija-Liisa, 482
Linn, 480
Sirja, 477
Sanna-Kaisa, 476
Eve, 473
Siina, 471
Eeva-Maria, 467
Esteri, 466
Agneta, 463
Bea, 460
Felicia, 459
Eeva-Maija, 454
Tua, 451
Noomi, 450
Maaria, 449
Lara, 447
Lydia, 445
Livia, 444
Claudia, 442
Meiju, 440
Sanna-Maria, 439
Soila, 437
Sani, 435
Evelina, 435
Charlotte, 432
Märta, 432
Elvira, 431
Anna-Sofia, 429
Mary, 428
Tamara, 422
Vilhelmiina, 422
Sofi, 419
Silva, 417
Ellinoora, 415
Josefina, 414
Lily, 413
Michelle, 411
Iida-Maria, 410
Alissa, 409
Lili, 409
Nicole, 407
Anne-Maj, 407
Miranda, 406
Agnes, 404
Rakel, 402
Stiina, 401
Hellä, 401
Jane, 399
Teea, 397
Julianna, 397
Lumia, 396
Christine, 396
Assi, 396
Helmiina, 395
Hannamari, 392
Melinda, 392
Maili, 392
Heleena, 391
Michaela, 391
Hellin, 390
Loviisa, 390
Nuppu, 390
